,location,total_sqft,bath,balcony,price,ready_to_move,bedrooms
1548,Sarjapur,1195.0,2.0,1.0,42.0,1,2
1549,HSR Layout,1750.0,3.0,2.0,95.0,1,3
1550,Malleshpalya,1052.0,2.0,2.0,50.0,1,2
1551,Horamavu Banaswadi,1180.0,2.0,2.0,58.0,1,2
1552,Padmanabhanagar,3680.0,4.0,2.0,440.0,1,5
1553,Hormavu,2100.0,3.0,2.0,73.0,1,3
1554,Hoodi,2863.0,4.0,1.0,140.0,0,4
1555,Raja Rajeshwari Nagar,1128.0,2.0,2.0,38.24,1,2
1556,Ulsoor,2700.0,3.0,1.0,450.0,1,3
1557,JP Nagar,1120.0,2.0,2.0,33.6,0,2
1558,HSR Layout,2424.0,3.0,2.0,90.0,1,3
1559,Manjunatha Layout,1300.0,2.0,1.0,60.0,1,2
1560,Kanakapura,1090.0,2.0,2.0,32.69,1,2
1561,Yelahanka,2710.0,3.0,1.0,251.0,1,3
1562,Konanakunte Cross,3040.0,1.0,1.0,180.0,1,2
1563,Uttarahalli,1330.0,2.0,2.0,46.55,1,3
1564,Hosur Road,1427.0,2.0,1.0,80.63,0,3
1565,Banjara Layout,1294.0,2.0,2.0,48.0,0,3
1566,Begur,1580.0,3.0,2.0,75.0,1,3
1567,Uttarahalli,400.0,5.0,1.0,200.0,1,5
1568,Chikka Tirupathi,1808.0,4.0,2.0,80.27,1,3
1569,Rajaji Nagar,3516.0,4.0,3.0,540.0,1,4
1570,Parappana Agrahara,1194.0,2.0,2.0,47.0,1,2
1571,Kanakpura Road,900.0,2.0,1.0,46.0,0,2
1572,Abbaiah Reddy Layout,1310.0,2.0,3.0,50.0,1,3
1573,Kanakpura Road,900.0,2.0,1.0,46.0,0,2
1574,Singasandra,3850.0,6.0,3.0,195.0,1,4
1575,Kogilu,925.0,7.0,3.0,88.0,1,7
1576,Yelachenahalli,2400.0,1.0,1.0,150.0,0,2
1577,Koramangala,1290.0,2.0,3.0,100.0,1,2
1578,Yelahanka,3770.0,6.0,3.0,110.0,1,6
1579,Lakshmi Layout,1390.0,3.0,1.0,120.0,1,3
1580,Tavarekere,1200.0,4.0,2.0,72.0,1,4
1581,Bisuvanahalli,845.0,2.0,1.0,33.0,1,2
1582,Yelahanka,1537.0,3.0,3.0,120.0,1,3
1583,Immadihalli,1135.0,2.0,2.0,68.0,1,2
1584,Hoodi,1512.0,3.0,2.0,75.77,0,3
1585,Srinivasa Nagar,900.0,2.0,1.0,55.0,1,2
1586,Jigani,1230.0,3.0,3.0,54.0,1,3
1587,Thirumenahalli,1378.0,2.0,3.0,42.33,0,3
1588,Whitefield,1277.0,2.0,1.0,61.3,0,2
1589,Hebbal,1985.0,4.0,2.0,189.0,0,3
1591,KPC Layout,1210.0,2.0,2.0,62.0,1,2
1593,JP Nagar,2550.0,9.0,0.0,360.0,1,9
1594,Sarjapur,1200.0,5.0,2.0,110.0,1,4
1595,Ardendale,3198.0,4.0,3.0,200.0,1,4
1596,HOSUR MAIN ROAD,1464.0,3.0,2.0,56.0,1,3
1597,Hebbal,2483.0,5.0,2.0,215.0,1,4
1598,Begur,1550.0,4.0,2.0,130.0,1,4
1599,Sarjapur  Road,4111.0,4.0,1.0,310.0,1,4
1600,Electronic City,975.0,2.0,2.0,37.5,1,2
1601,Nandi Durga Road,2500.0,3.0,1.0,250.0,1,3
1602,Rajiv Nagar,1690.0,3.0,1.0,125.0,1,3
1603,Hosa Road,1063.0,2.0,1.0,31.89,0,2
1604,Cooke Town,2572.0,3.0,3.0,390.0,1,3
1606,Daadys Gaarden Layout,1600.0,3.0,0.0,80.0,1,3
1607,Maruthi Nagar,1250.0,3.0,1.0,39.5,0,3
1608,Bommanahalli,520.0,1.0,0.0,19.5,1,1
1610,Munnekollal,1390.0,3.0,2.0,68.0,1,3
1611,Whitefield,1185.0,2.0,2.0,40.0,0,2
1612,Sahakara Nagar,1219.0,2.0,2.0,48.0,1,2
1613,Kudlu Gate,1564.0,2.0,1.0,92.0,0,3
1614,Sarjapur  Road,3430.0,6.0,0.0,228.5,1,4
1615,Hosa Road,1100.0,2.0,2.0,37.1,1,2
1616,Kothannur,1300.0,2.0,0.0,60.0,1,3
1617,Chikkabanavar,1600.0,2.0,0.0,80.0,1,3
1618,Ramamurthy Nagar,1600.0,3.0,2.0,75.0,1,3
1619,Hennur Road,1482.0,2.0,1.0,92.0,0,3
1620,Marsur,1000.0,4.0,3.0,66.0,0,3
1621,Shampura,1200.0,2.0,3.0,53.0,1,2
1622,Gubbalala,600.0,3.0,2.0,75.0,1,3
1623,Kengeri,1200.0,2.0,0.0,58.0,1,2
1624,Kereguddadahalli,600.0,4.0,0.0,60.0,1,6
1625,Nagarbhavi,2400.0,3.0,0.0,160.0,1,3
1626,Marathahalli,1469.0,3.0,1.0,89.0,0,3
1627,Kanakapura,551.0,1.0,1.0,30.0,0,1
1628,Electronics City Phase 1,1160.0,2.0,1.0,52.0,0,2
1629,Balagere,1205.0,2.0,1.0,78.5,1,2
1630,Kasavanhalli,1550.0,2.0,3.0,52.0,1,3
1631,Gubbalala,1745.0,3.0,2.0,125.0,1,3
1632,AECS Layout,1028.0,2.0,1.0,42.0,1,2
1633,Frazer Town,1700.0,3.0,1.0,180.0,1,3
1634,Karuna Nagar,1200.0,2.0,1.0,34.0,1,3
1635,Kodihalli,2700.0,4.0,1.0,270.0,1,3
1636,Kallumantapa,1100.0,2.0,2.0,50.0,1,2
1637,Ramamurthy Nagar,1200.0,3.0,1.0,72.0,1,2
1638,Kaverappa Layout,1269.72,2.0,2.0,68.0,1,2
1639,Electronic City Phase II,1266.0,2.0,2.0,59.0,1,2
1640,Mysore Road,1060.0,2.0,1.0,62.0,1,2
1641,Malimakanapura,1168.0,3.0,0.0,70.0,1,3
1642,Medahalli,1552.0,2.0,1.0,51.0,1,2
1643,Talaghattapura,2038.5,3.0,0.0,120.0,0,3
1644,Attibele,500.0,1.0,1.0,17.0,1,1
1645,Hulimavu,1080.0,2.0,2.0,43.2,1,2
1647,Rustam Bagh Layout,1300.0,2.0,2.0,65.0,1,2
1648,Electronics City Phase 1,920.0,2.0,2.0,33.0,1,2
1649,New Thippasandra,817.0,2.0,1.0,120.0,1,4
1650,Harlur,1310.0,2.0,1.0,50.0,1,2
1651,Horamavu Agara,1650.0,2.0,1.0,75.0,1,3
1652,Garden Layout,1515.0,3.0,3.0,93.93,1,3
1653,Raja Rajeshwari Nagar,1157.0,2.0,1.0,53.8,0,2
1654,Viswapriyanagar.begur Road.bommanahalli.,2400.0,5.0,1.0,85.0,1,4
1655,Konanakunte,3000.0,4.0,3.0,160.0,1,4
1656,Basavangudi,2200.0,2.0,1.0,162.0,1,3
1657,"Hoodi Circle, ",1243.0,2.0,1.0,58.0,0,2
1658,Rachenahalli,1530.0,2.0,2.0,74.39,1,3
1659,Judicial Layout,2070.0,3.0,3.0,162.0,1,3
1660,Yelahanka,1815.0,3.0,2.0,82.0,1,3
1661,Sarjapur  Road,3900.0,4.0,3.0,300.0,1,4
1662,Electronic City Phase II,1000.0,2.0,1.0,28.88,0,2
1663,Ananth Nagar,982.0,2.0,2.0,24.55,0,2
1664,Hennur Road,1232.0,2.0,2.0,89.0,1,2
1665,Binny Pete,1282.0,3.0,2.0,178.0,0,3
1666,Yelahanka,654.0,1.0,1.0,38.4,1,1
1667,Bannerghatta Road,1181.0,2.0,0.0,55.0,1,2
1668,Bisuvanahalli,1075.0,2.0,1.0,45.0,1,3
1669,2nd Stage Nagarbhavi,1200.0,4.0,2.0,245.0,1,4
1670,T K Reddy Layout,1616.0,3.0,1.0,75.0,1,3
1671,Herohalli,1800.0,6.0,0.0,44.5,1,5
1672,Kumbena Agrahara,1200.0,4.0,1.0,135.0,1,6
1673,Whitefield,1306.0,3.0,2.0,54.65,0,3
1674,Whitefield,1626.0,3.0,3.0,89.0,1,3
1675,"Pai layout , Mahadevapura",2700.0,4.0,2.0,214.0,1,6
1676,Whitefield,1585.0,3.0,2.0,88.0,1,3
1677,7th Phase JP Nagar,1370.0,2.0,1.0,56.17,1,2
1678,Whitefield,3250.0,5.0,3.0,900.0,1,5
1679,Kanakpura Road,1495.0,2.0,2.0,90.0,1,2
1680,frazertown,2000.0,3.0,2.0,210.0,1,3
1681,Akshayanagara East,2400.0,4.0,1.0,300.0,1,5
1682,Bannerghatta,1375.0,3.0,0.0,57.0,1,3
1683,Old Madras Road,3715.0,6.0,0.0,224.5,1,4
1684,Kereguddadahalli,1400.0,2.0,2.0,48.0,1,3
1685,Kadugodi,1100.0,5.0,0.0,135.0,1,5
1687,Hebbal Kempapura,1200.0,4.0,2.0,215.0,1,4
1688,Yelahanka,1150.0,2.0,2.0,46.0,1,2
1689,Hebbal,1080.0,2.0,1.0,54.0,1,2
1690,Kaikondrahalli,1645.0,3.0,2.0,100.0,1,3
1691,Doddanekundi,1760.0,3.0,3.0,176.0,1,3
1692,Venkatadri Layout,595.0,1.0,1.0,42.0,1,1
1693,Bommenahalli,1200.0,3.0,1.0,125.0,1,3
1694,JP Nagar,4624.5,4.0,0.0,314.5,0,4
1695,Mahaganapathy Nagar,1410.0,2.0,3.0,67.0,1,2
1696,Huskur,1090.0,2.0,1.0,31.48,0,2
1697,Ramagondanahalli,540.0,1.0,0.0,30.0,1,1
1698,Sarjapur  Road,1300.0,2.0,2.0,60.0,1,2
1699,9th Phase JP Nagar,1890.0,2.0,2.0,85.0,1,3
1700,Belathur,1254.0,2.0,1.0,53.0,1,2
1701,Kattigenahalli,2800.0,7.0,2.0,125.0,1,7
1703,Kathriguppe,1245.0,2.0,2.0,68.48,1,3
1704,Rustam Bagh Layout,1170.0,2.0,2.0,86.0,1,2
1705,Panathur,1193.0,2.0,1.0,86.0,0,2
1706,Chandapura,850.0,2.0,1.0,25.4,0,2
1707,Marathahalli,1678.0,3.0,3.0,70.0,1,3
1708,Gunjur,1600.0,3.0,3.0,75.0,1,3
1709,Electronics City Phase 1,1750.0,3.0,2.0,84.0,1,3
1710,Whitefield,1125.0,2.0,2.0,62.0,0,2
1711,Andrahalli,2200.0,4.0,3.0,235.0,1,4
1713,HBR Layout,2800.0,2.0,0.0,200.0,1,3
1714,R.T. Nagar,1200.0,2.0,1.0,120.0,1,2
1715,Vittal Nagar,1000.0,2.0,1.0,50.0,1,2
1716,Sadashiva Nagar,2780.0,5.0,2.0,480.0,1,4
1717,Electronic City Phase II,1320.0,2.0,1.0,38.13,0,3
1718,2Electronic City Phase II,8000.0,27.0,0.0,230.0,1,27
1719,Ardendale,2422.0,4.0,2.0,160.0,1,4
1720,Kasavanhalli,1100.0,2.0,1.0,50.0,1,2
1721,Uttarahalli,882.0,2.0,1.0,30.0,1,2
1722,Bisuvanahalli,845.0,2.0,1.0,37.0,1,2
1723,Kambipura,883.0,2.0,1.0,39.0,1,2
1725,Brookefield,1595.0,3.0,3.0,88.0,1,3
1726,Whitefield,1280.0,2.0,0.0,85.0,1,2
1727,3rd Block Banashankari,1700.0,2.0,1.0,550.0,1,4
1728,Bhuvaneshwari Nagar,920.0,2.0,0.0,35.0,1,2
1729,Choodasandra,1300.0,2.0,3.0,57.0,1,2
1730,Shanthala Nagar,1450.0,1.0,0.0,230.0,1,2
1731,Harlur,1757.0,3.0,2.0,132.0,1,3
1732,Anekal,600.0,1.0,1.0,16.5,1,1
1733,Jnanabharathi Layout,2400.0,3.0,2.0,142.0,1,4
1734,Sarjapur,1240.0,2.0,1.0,44.0,1,2
1736,EPIP Zone,1330.0,2.0,1.0,93.36,0,2
1737,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,1,2
1738,JP Nagar,1078.0,2.0,2.0,45.0,1,2
1739,Bannerghatta Road,1460.0,2.0,2.0,72.0,1,3
1740,Whitefield,1200.0,3.0,2.0,68.5,0,3
1741,Laggere,1200.0,1.0,1.0,48.0,1,1
1742,Kammasandra,912.0,2.0,1.0,39.0,1,3
1744,Victoria Layout,2400.0,5.0,1.0,625.0,1,5
1745,Prithvi Layout,2028.0,4.0,3.0,162.0,1,4
1746,Mysore Road,980.0,2.0,1.0,45.47,0,2
1747,Sarjapur  Road,1000.0,2.0,2.0,40.0,1,2
1748,Sarjapur  Road,1050.0,2.0,1.0,62.0,1,2
1749,Bannerghatta,2611.0,3.0,1.0,239.0,0,3
1750,Domlur,1875.0,2.0,2.0,150.0,1,3
1751,Hennur Road,1065.0,2.0,1.0,42.6,1,2
1752,Sanjay nagar,1800.0,3.0,2.0,180.0,1,3
1753,Sector 7 HSR Layout,1163.0,2.0,2.0,98.86,1,2
1754,Tumkur Road,1098.0,2.0,1.0,72.0,1,2
1755,5th Phase JP Nagar,1725.0,2.0,2.0,100.0,1,3
1756,Whitefield,4000.0,4.0,2.0,330.0,1,4
1757,Thubarahalli,1128.0,2.0,2.0,75.0,1,2
1758,Subramanyanagar,1320.0,6.0,2.0,200.0,1,8
1759,Yelahanka,1705.0,3.0,1.0,74.16,1,3
1760,Thigalarapalya,1418.0,2.0,2.0,95.0,1,2
1761,Ramamurthy Nagar,1500.0,3.0,1.0,160.0,1,3
1762,Hebbal,1100.0,2.0,2.0,50.0,1,2
1763,KUDLU MAIN ROAD,1464.0,3.0,2.0,56.0,1,3
1764,Hebbal,812.0,2.0,2.0,55.0,0,2
1766,Doddanekundi,1280.0,2.0,2.0,40.0,1,2
1767,Whitefield,1420.0,2.0,2.0,136.0,1,2
1768,1 Ramamurthy Nagar,1200.0,11.0,0.0,170.0,1,11
1769,Kadugondanahalli,727.0,6.0,2.0,66.0,1,6
1770,Banashankari Stage II,1200.0,2.0,1.0,150.0,1,4
1772,5th Stage BEML Layout,2000.0,3.0,2.0,85.0,1,3
1774,Indira Nagar,2800.0,3.0,1.0,330.0,1,3
1776,Jaya Mahal layout,1650.0,3.0,3.0,175.0,1,3
1777,BSM Extension,840.0,2.0,2.0,27.0,1,2
1778,Jigani,914.0,2.0,2.0,47.0,1,2
1779,Hennur Road,1482.0,2.0,2.0,83.73,0,3
1780,Kundalahalli,1724.0,3.0,2.0,127.0,0,3
1781,Vijinapura,1670.0,3.0,3.0,91.86,1,3
1782,Banaswadi,1184.0,2.0,3.0,53.0,1,2
1783,Kodigehaali,1200.0,2.0,1.0,55.0,1,2
1784,TC Palaya,1200.0,2.0,0.0,65.0,1,2
1785,Jigani,927.0,2.0,2.0,55.0,1,2
1786,P&T Layout,1242.0,2.0,3.0,39.7,1,2
1787,Electronic City Phase II,1220.0,3.0,1.0,35.23,0,3
1788,Electronic City,1360.0,2.0,1.0,75.0,1,3
1789,Brookefield,2800.0,4.0,2.0,240.0,1,4
1790,7th Phase JP Nagar,1180.0,2.0,2.0,72.0,1,2
1791,Whitefield,1697.0,3.0,2.0,108.0,1,3
1792,Yelahanka New Town,550.0,2.0,1.0,26.0,1,2
1793,Hennur,1225.0,2.0,1.0,57.0,1,2
1794,Byrasandra,1690.0,2.0,2.0,55.0,1,3
1797,Chowdeshwari Layout,1250.0,2.0,1.0,80.0,1,3
1798,JP Nagar,1050.0,1.0,1.0,44.0,1,1
1799,HSR Layout,1027.0,2.0,2.0,44.0,1,2
1800,Kanakpura Road,1699.0,3.0,3.0,81.94,0,3
1801,Whitefield,1205.0,2.0,2.0,58.0,1,2
1802,Mathikere Extension,712.0,2.0,1.0,67.5,1,4
1803,Horamavu Agara,950.0,2.0,3.0,39.0,0,2
1804,TC Palaya,1200.0,2.0,0.0,70.0,1,2
1805,Akshaya Nagar,1476.0,3.0,1.0,120.0,1,3
1806,CV Raman Nagar,1070.0,2.0,1.0,55.0,1,2
1807,EPIP Zone,2160.0,4.0,2.0,172.0,1,3
1808,Sector 2 HSR Layout,1296.0,2.0,1.0,75.0,1,2
1809,Chikkalasandra,1800.0,1.0,1.0,128.0,1,2
1810,Kanakpura Road,1570.0,3.0,3.0,64.5,1,3
1811,Koramangala,1300.0,2.0,3.0,110.0,1,2
1812,Sarjapur,1550.0,2.0,2.0,65.0,1,4
1813,Electronic City,770.0,1.0,1.0,40.0,1,2
1816,Domlur,1429.0,3.0,3.0,86.0,1,3
1817,Babusapalaya,1167.0,2.0,2.0,39.98,0,3
1818,Bommasandra,1035.0,2.0,1.0,41.73,0,2
1819,Kengeri,1188.0,2.0,2.0,38.0,1,3
1820,2nd Stage Nagarbhavi,1200.0,4.0,2.0,285.0,1,5
1822,Nagarbhavi,884.0,2.0,2.0,36.0,1,1
1823,Haralur Road,1194.0,2.0,2.0,46.0,1,2
1824,Hoodi,1026.0,2.0,1.0,60.87,0,2
1825,Shivaji Nagar,1400.0,6.0,3.0,200.0,1,7
1826,Kaikondrahalli,1115.0,2.0,2.0,50.0,1,2
1827,Hebbal Kempapura,1200.0,2.0,1.0,125.0,1,2
1828,Old Airport Road,2690.0,4.0,3.0,191.0,0,4
1829,Subramanyapura,975.0,2.0,1.0,58.0,1,2
1830,Hosa Road,675.0,3.0,2.0,72.5,1,3
1831,Chamrajpet,1900.0,2.0,1.0,170.0,1,4
1832,Banashankari,600.0,3.0,1.0,100.0,0,3
1833,OMBR Layout,1101.0,2.0,2.0,65.5,1,2
1834,Sarjapur  Road,1700.0,3.0,3.0,135.0,1,3
1835,Whitefield,3606.0,4.0,2.0,312.0,1,4
1836,Padmanabhanagar,1258.0,2.0,2.0,115.0,1,2
1838,Old Madras Road,3630.0,6.0,1.0,195.0,1,4
1839,JP Nagar,2000.0,3.0,2.0,250.0,1,3
1840,Hebbal,2790.0,4.0,3.0,198.0,0,4
1841,Badavala Nagar,1494.0,2.0,2.0,94.55,0,3
1842,Hennur Road,1482.0,2.0,1.0,87.0,0,3
1843,Rustam Bagh Layout,800.0,2.0,3.0,50.0,1,2
1844,Raja Rajeshwari Nagar,1185.0,2.0,2.0,47.39,1,2
1845,Hulimavu,1100.0,2.0,2.0,71.5,1,2
1846,NRI Layout,1300.0,2.0,0.0,120.0,1,2
1847,4th Block Koramangala,1225.0,2.0,2.0,150.0,1,2
1848,Hulimavu,1758.0,3.0,2.0,65.0,1,3
1849,Banaswadi,1145.0,2.0,2.0,55.0,1,2
1850,Hormavu,1180.0,2.0,2.0,50.0,1,2
1851,Belatur,1260.0,2.0,2.0,58.0,1,2
1853,Arekere,1190.0,2.0,2.0,55.0,1,2
1854,Sarjapur  Road,1691.0,3.0,2.0,119.0,1,3
1855,Lalbagh Road,3675.0,4.0,3.0,367.0,0,4
1857,Basavangudi,2337.0,4.0,3.0,292.0,0,3
1858,Kamakya Layout,1200.0,2.0,2.0,150.0,1,2
1859,Domlur,1206.0,2.0,1.0,217.0,0,2
1860,Vignana Nagar,1350.0,4.0,1.0,130.0,1,5
1861,Kogilu,1140.0,2.0,1.0,50.66,1,2
1862,Nallurhalli,1250.0,2.0,2.0,65.0,1,2
1863,Kamakshipalya,600.0,2.0,1.0,60.0,1,3
1864,Chinnapanahalli,1225.0,2.0,2.0,48.0,0,2
1865,Kereguddadahalli,800.0,2.0,2.0,28.0,1,2
1866,Jalahalli East,1020.0,2.0,1.0,58.0,1,2
1867,TC Palaya,2100.0,2.0,1.0,50.0,1,4
1868,Lingarajapuram,1350.0,2.0,1.0,80.0,1,2
1869,Anekal,925.0,2.0,1.0,40.0,1,2
1870,Yelachenahalli,1800.0,3.0,1.0,220.0,1,4
1871,3rd Block HBR Layout,2000.0,3.0,1.0,100.0,1,3
1872,Frazer Town,1510.0,2.0,1.0,75.0,1,3
1874,Laxmi Sagar Layout,1614.0,3.0,1.0,110.0,1,3
1875,Yeshwanthpur,682.0,2.0,1.0,130.0,1,3
1876,Gottigere,1200.0,2.0,0.0,95.0,1,2
1877,TC Palaya,900.0,2.0,0.0,55.0,1,2
1878,Bommenahalli,1632.0,3.0,0.0,145.0,1,4
1879,OMBR Layout,1041.0,2.0,2.0,65.5,1,2
1881,Bannerghatta,3012.0,6.0,2.0,250.0,0,4
1882,Marathahalli,1530.0,3.0,2.0,74.5,1,3
1883,Sector 2 HSR Layout,1450.0,2.0,2.0,135.0,1,3
1884,Bannerghatta Road,1200.0,2.0,2.0,75.0,1,2
1886,Hosur Road,1508.0,2.0,1.0,110.0,1,3
1887,New Gurappana Palya,600.0,7.0,3.0,106.0,1,7
1888,Dodda Nekkundi Extension,1188.0,2.0,3.0,73.0,1,2
1889,Old Airport Road,2690.0,4.0,3.0,199.0,0,4
1890,Harlur,1174.0,2.0,1.0,76.0,1,2
1891,Old Madras Road,1350.0,3.0,1.0,58.99,0,3
1892,Frazer Town,1870.0,3.0,3.0,185.0,1,3
1893,Kengeri Satellite Town,1072.0,2.0,1.0,25.0,0,2
1894,Nelamangala,52272.0,2.0,1.0,140.0,1,3
1895,Kengeri,726.0,2.0,1.0,31.0,0,2
1896,Hosur Road,1345.0,2.0,2.0,106.0,1,2
1897,Begur Road,1200.0,2.0,2.0,45.0,1,2
1898,Nagavarapalya,980.0,2.0,0.0,37.0,1,2
1899,Hormavu,1050.0,2.0,1.0,77.0,1,2
1900,Uttarahalli,993.0,2.0,1.0,39.71,1,2
1901,7th Phase JP Nagar,1300.0,2.0,2.0,52.0,1,3
1902,Vittasandra,1743.0,3.0,2.0,85.0,1,3
1903,Whitefield,1204.0,4.0,1.0,125.0,1,4
1904,Hormavu,1200.0,2.0,0.0,67.0,1,2
1905,2nd Block Hrbr Layout,1480.0,3.0,2.0,90.0,1,3
1906,Sarjapur,950.0,2.0,2.0,32.5,1,2
1907,Domlur,640.0,1.0,0.0,55.0,1,1
1908,Electronic City Phase II,972.0,2.0,1.0,44.0,0,2
1909,Marathahalli,1840.0,3.0,3.0,98.0,1,3
1910,Electronic City,1128.0,2.0,1.0,64.0,1,2
1911,Hongasandra,680.0,2.0,0.0,42.0,1,2
1912,Harappanahalli,2400.0,2.0,1.0,95.0,1,2
1913,Basapura,1045.0,2.0,2.0,42.0,1,2
1914,Roopena Agrahara,955.0,2.0,3.0,53.55,1,2
1915,Doddakallasandra,1360.0,2.0,2.0,54.39,1,3
1916,BTM Layout,1150.0,2.0,2.0,63.0,1,2
1917,Hennur Road,3450.0,4.0,3.0,294.0,0,4
1918,Chennammana Kere,1115.0,2.0,2.0,56.87,0,2
1919,Jigani,920.0,2.0,2.0,46.0,1,2
1920,Bommasandra Industrial Area,1030.0,2.0,1.0,41.0,0,2
1921,Thanisandra,1564.0,3.0,1.0,101.0,1,3
1922,Uttarahalli,1045.0,2.0,1.0,45.0,1,2
1923,Hegde Nagar,1200.0,4.0,1.0,83.0,1,4
1924,Subramanyapura,1277.0,2.0,2.0,55.0,1,2
1925,Kanaka Nagar,2479.13,3.0,1.0,215.0,1,3
1926,Sarjapur  Road,1846.0,3.0,2.0,140.0,1,3
1927,Tasker Town,1100.0,2.0,0.0,106.0,1,2
1929,Hormavu,1200.0,3.0,0.0,70.0,0,2
1930,Yelahanka,3042.0,4.0,0.0,131.0,1,4
1931,Rajaji Nagar,1640.0,3.0,3.0,223.0,1,3
1932,NR Colony,1068.0,2.0,1.0,40.05,0,2
1933,Kanakpura Road,1135.0,2.0,2.0,58.0,1,2
1934,Agara Village,1925.0,3.0,2.0,120.0,1,3
1935,Begur Road,1615.0,3.0,2.0,60.0,1,3
1936,Shettigere,650.0,1.0,1.0,26.0,1,1
1937,Chikkasandra,1200.0,9.0,3.0,120.0,1,9
1938,Kaggadasapura,1150.0,2.0,3.0,42.0,1,2
1939,Kothannur,930.0,6.0,1.0,135.0,1,6
1940,Kenchanehalli R R Nagar,1410.0,2.0,2.0,45.12,0,3
1941,6th Phase JP Nagar,600.0,2.0,0.0,100.0,1,3
1942,Kumara Park,2000.0,3.0,3.0,207.0,0,3
1943,Tumkur Road,1354.0,3.0,1.0,90.0,1,3
1944,BEL Road,1050.0,2.0,0.0,110.0,1,2
1945,Arekere,600.0,1.0,1.0,28.0,1,1
1946,Varthur,1320.0,2.0,1.0,110.0,1,4
1947,Koramangala,1600.0,3.0,2.0,88.0,0,3
1948,Kanakpura Road,3500.0,6.0,2.0,225.0,1,4
1949,GM Palaya,1000.0,2.0,1.0,36.0,1,2
1950,Byagadadhenahalli,1130.0,3.0,1.0,38.0,1,3
1951,Vittasandra,1238.0,2.0,1.0,67.0,1,2
1952,Ashwathnagar,2204.0,2.0,3.0,305.0,1,3
1954,Kudlu Gate,1364.0,2.0,3.0,46.38,0,3
1955,Srinivasa Nagar,900.0,2.0,1.0,45.0,1,2
1956,Gubbalala,1745.0,3.0,2.0,104.0,1,3
1957,Kogilu,1200.0,2.0,1.0,53.33,1,2
1958,Kanakapura,1020.0,2.0,1.0,42.83,1,2
1959,Banashankari Stage III,1650.0,3.0,2.0,118.0,0,3
1960,Doddabommasandra,1550.0,2.0,3.0,70.0,1,3
1961,5th Phase JP Nagar,1440.0,2.0,2.0,60.0,1,2
1962,Sarjapura - Attibele Road,1329.0,2.0,2.0,45.95,1,3
1963,Maruthi Layout,916.0,2.0,1.0,42.0,1,2
1964,Hulimavu,688.0,1.0,2.0,50.0,1,1
1965,Sree Narayana Nagar,1358.0,3.0,3.0,50.0,1,3
1966,Kanakpura Road,1331.0,2.0,1.0,107.0,0,2
1967,Malleshwaram,686.0,1.0,1.0,62.5,1,1
1968,Hoodi,1050.0,2.0,2.0,50.0,1,2
1969,Talaghattapura,2106.0,3.0,2.0,126.0,1,3
1970,Bhoganhalli,1718.0,3.0,2.0,90.2,0,3
1971,Raja Rajeshwari Nagar,1530.0,3.0,2.0,57.0,1,3
1972,5th Block Hbr Layout,1206.0,2.0,2.0,56.0,1,2
1973,Hebbal,1075.0,2.0,3.0,52.0,1,2
1974,Sarjapur  Road,1200.0,3.0,1.0,95.0,0,3
1975,Tunganagara,1936.0,2.0,2.0,54.21,0,3
1976,Nagavara,2172.65,3.0,3.0,120.0,1,4
1977,Sahakara Nagar,1100.0,2.0,2.0,75.0,1,3
1978,BTM 2nd Stage,1260.0,5.0,1.0,185.0,1,3
1979,Hongasandra,990.0,12.0,0.0,120.0,1,8
1980,Jalahalli East,800.0,2.0,1.0,80.0,1,3
1981,Sarjapur  Road,1117.0,2.0,3.0,29.99,1,2
1982,Remco Bhel Layout,1685.0,2.0,1.0,110.0,1,3
1983,CV Raman Nagar,740.0,2.0,1.0,37.0,1,2
1984,Chamrajpet,1080.0,4.0,2.0,250.0,1,4
1985,Magadi Road,1500.0,2.0,2.0,93.0,1,4
1986,Banashankari,1800.0,3.0,2.0,115.0,1,3
1987,Yelachenahalli,1700.0,3.0,2.0,130.0,1,3
1988,Uttarahalli,850.0,2.0,2.0,37.93,1,2
1989,Hennur Road,1891.0,3.0,1.0,139.0,1,3
1990,Jalahalli,1400.0,1.0,1.0,80.0,1,2
1991,Lakshminarayana Pura,1172.0,2.0,2.0,82.0,1,2
1992,Electronic City Phase II,1400.0,2.0,2.0,40.43,0,3
1993,Sonnenahalli,896.0,2.0,1.0,43.75,1,2
1994,Vijayanagar,1180.0,2.0,2.0,65.0,0,2
1995,Basaveshwara Nagar,2460.0,7.0,1.0,350.0,1,7
1996,Chokkasandra,850.0,2.0,1.0,33.0,1,2
1997,Anekal,530.0,1.0,1.0,18.0,0,1
1998,2nd Block Hrbr Layout,1550.0,3.0,3.0,110.0,0,3
1999,Kanakapura,1699.0,3.0,3.0,97.0,0,3
2000,Bellandur,2025.0,4.0,3.0,109.0,0,4
2001,Ananth Nagar,500.0,2.0,2.0,14.0,0,1
2002,Panduranga Nagar,500.0,1.0,0.0,20.0,1,1
2003,Sri Venkateshpura Layout,1146.0,2.0,1.0,38.5,1,2
2004,Malleshwaram,2475.0,4.0,3.0,332.0,1,3
2005,Haralur Road,1455.0,2.0,1.0,145.0,1,2
2006,Seegehalli,800.0,1.0,0.0,50.0,1,2
2007,Abbigere,765.0,2.0,2.0,30.0,1,1
2008,Lingadheeranahalli,1521.0,3.0,1.0,94.99,1,3
